city,city_ascii,state_id,state_name,county_name,county_fips,zip,lat,lng,population,source,id
San Francisco,San Francisco,CA,California,San Francisco,6075,94130 94131 94132 94133 94134 94108 94103 94102 94105 94104 94158 94124 94123 94122 94121 94129 94118 94112 94110 94116 94117 94114 94115 94111 94109 94107 94127 94119 94120 94125 94126 94137 94139 94140 94141 94142 94143 94144 94145 94146 94147 94151 94159 94160 94161 94163 94164 94172 94177 94188,37.7749295,-122.4194155,805235,polygon,1840021543
Austin,Austin,TX,Texas,Travis,48453,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78708 78709 78710 78711 78713 78714 78715 78716 78718 78720 78755 78760 78761 78762 78763 78764 78765 78766 78767 78768 78769 78772 78773 78774 78778 78779 78783 78799,30.267153,-97.7430608,790390,polygon,1840019590
Columbus,Columbus,OH,Ohio,Franklin,39049,43026 43109 43054 43228 43220 43221 43222 43223 43224 43227 43210 43213 43212 43215 43214 43217 43219 43002 43004 43068 43081 43085 43240 43229 43235 43232 43231 43230 43119 43110 43017 43016 43137 43211 43202 43203 43201 43206 43207 43204 43205 43209 43216 43218 43226 43234 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291,39.9611755,-82.9987942,787033,polygon,1840003760
Fort Worth,Fort Worth,TX,Texas,Tarrant,48439,76164 76040 76134 76135 76137 76131 76132 76133 76109 76108 76105 76104 76107 76106 76103 76102 76155 76053 76052 76123 76120 76244 76006 76008 76179 76177 76036 76140 76262 76129 76118 76119 76116 76117 76114 76115 76112 76110 76111 76127 76101 76113 76121 76122 76124 76130 76136 76147 76150 76161 76162 76163 76166 76181 76185 76191 76192 76193 76195 76196 76197 76198 76199,32.725409,-97.3208496,741206,polygon,1840020696
Charlotte,Charlotte,NC,North Carolina,Mecklenburg,37119,28269 28262 28105 28280 28282 28209 28208 28205 28204 28207 28206 28203 28202 28227 28226 28278 28270 28273 28277 28134 28216 28217 28214 28215 28212 28213 28210 28211 28244 28126 28130 28201 28218 28219 28220 28221 28222 28223 28224 28228 28229 28230 28231 28232 28233 28234 28235 28236 28237 28241 28242 28243 28246 28247 28253 28254 28255 28256 28258 28260 28263 28265 28266 28271 28272 28274 28275 28281 28284 28285 28287 28288 28289 28290 28296 28297 28299,35.2270869,-80.8431268,731424,polygon,1840014557
Detroit,Detroit,MI,Michigan,Wayne,26163,48209 48208 48201 48207 48206 48205 48204 48203 48227 48226 48238 48239 48234 48235 48233 48202 48243 48228 48214 48215 48216 48217 48210 48211 48212 48213 48219 48224 48221 48223 48222 48231 48232 48244 48255 48260 48264 48265 48266 48267 48268 48269 48272 48275 48277 48278 48279 48288,42.331427,-83.0457538,713777,polygon,1840003971
El Paso,El Paso,TX,Texas,El Paso,48141,79901 79902 79903 79904 79905 79906 79907 79835 79930 79932 79935 79934 79936 79912 79911 79922 79920 79927 79924 79925 79915 79910 79913 79914 79917 79918 79923 79926 79929 79931 79937 79940 79941 79943 79944 79945 79946 79947 79948 79949 79950 79951 79952 79953 79954 79955 79958 79960 79961 79968 79976 79978 79980 79995 79996 79997 79998 79999 88510 88511 88512 88513 88514 88515 88517 88518 88519 88520 88521 88523 88524 88525 88526 88527 88528 88529 88530 88531 88532 88533 88534 88535 88536 88538 88539 88540 88541 88542 88543 88544 88545 88546 88547 88548 88549 88550 88553 88554 88555 88556 88557 88558 88559 88560 88561 88562 88563 88565 88566 88567 88568 88569 88570 88571 88572 88573 88574 88575 88576 88577 88578 88579 88580 88581 88582 88583 88584 88585 88586 88587 88588 88589 88590 88595,31.7587198,-106.4869314,649121,polygon,1840020804
Memphis,Memphis,TN,Tennessee,Shelby,47157,38120 38126 38107 38106 38105 38104 38103 38109 38108 38152 38132 38133 38131 38141 38112 38114 38111 38115 38116 38117 38118 38119 38018 38016 38134 38128 38122 38125 38127 37501 37544 38101 38113 38124 38130 38136 38137 38145 38148 38150 38151 38157 38159 38161 38163 38166 38167 38168 38173 38174 38175 38177 38181 38182 38184 38186 38187 38188 38190 38193 38194 38197,35.1495343,-90.0489801,646889,polygon,1840015457
Baltimore,Baltimore,MD,Maryland,Baltimore (city),24510,21218 21211 21210 21213 21212 21215 21214 21217 21216 21231 21230 21239 21251 21209 21202 21206 21207 21205 21223 21201 21224 21225 21226 21229 21203 21233 21235 21241 21263 21264 21270 21273 21275 21278 21279 21280 21281 21282 21284 21285 21287 21288 21289 21290 21297 21298,39.2903848,-76.6121893,620961,polygon,1840001592
Boston,Boston,MA,Massachusetts,Suffolk,25025,02120 02121 02122 02124 02125 02126 02127 02128 02129 02210 02215 02467 02119 02118 02111 02110 02113 02115 02114 02116 02199 02134 02136 02135 02132 02131 02130 02203 02163 02152 02108 02109 02112 02117 02123 02133 02137 02196 02201 02204 02205 02206 02211 02212 02217 02222 02241 02266 02283 02284 02293 02297 02298,42.3584308,-71.0597732,617594,polygon,1840000455
Seattle,Seattle,WA,Washington,King,53033,98109 98108 98104 98107 98106 98101 98103 98102 98105 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194,47.6062095,-122.3320708,608660,polygon,1840021117
Washington,Washington,DC,District of Columbia,District of Columbia,11001,20010 20011 20012 20015 20228 20520 20307 20064 20418 20020 20024 20510 20593 20540 20240 20245 20007 20006 20004 20003 20002 20001 20009 20008 20204 20535 20317 20319 20405 20390 20057 20052 20053 20017 20018 20565 20566 20560 20551 20553 20230 20373 20260 20427 20005 20032 20036 20037 20202 20506 20045 20016 20019 20013 20022 20026 20027 20029 20030 20033 20035 20038 20039 20040 20041 20042 20043 20044 20047 20049 20050 20055 20056 20058 20059 20060 20061 20062 20063 20065 20066 20067 20068 20069 20070 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20090 20091 20189 20201 20203 20206 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20220 20221 20222 20223 20224 20226 20227 20229 20232 20233 20235 20237 20238 20239 20241 20242 20244 20250 20251 20252 20254 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20318 20330 20340 20350 20355 20370 20372 20374 20375 20376 20380 20388 20389 20391 20392 20393 20394 20395 20398 20401 20402 20403 20404 20406 20407 20408 20409 20410 20411 20412 20413 20414 20415 20416 20417 20419 20420 20421 20422 20423 20424 20425 20426 20428 20429 20431 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20500 20501 20502 20503 20504 20505 20507 20508 20509 20511 20515 20521 20522 20523 20524 20525 20526 20527 20528 20529 20530 20531 20533 20534 20536 20537 20538 20539 20541 20542 20543 20544 20546 20547 20548 20549 20552 20554 20555 20557 20559 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20588 20590 20591 20594 20597 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56965 56967 56972 56998 56999,38.8951118,-77.0363658,601723,polygon,1840006060
Nashville,Nashville,TN,Tennessee,Davidson,47037,37027 37138 37076 37072 37205 37240 37243 37246 37080 37218 37219 37216 37217 37214 37215 37212 37213 37210 37211 37189 37209 37208 37204 37207 37206 37201 37203 37115 37013 37228 37221 37220 37143 37011 37116 37202 37222 37224 37227 37229 37230 37232 37234 37235 37236 37238 37241 37242 37244 37250,36.1658899,-86.7844432,601222,polygon,1840038081
Denver,Denver,CO,Colorado,Denver,8031,80264 80218 80230 80231 80236 80237 80235 80238 80239 80123 80249 80247 80246 80290 80293 80294 80219 80210 80211 80212 80216 80221 80220 80223 80222 80224 80227 80209 80207 80206 80205 80204 80202 80014 80203 80201 80208 80217 80225 80243 80244 80248 80250 80251 80252 80256 80257 80259 80261 80262 80263 80265 80266 80271 80273 80274 80281 80291 80299,39.7391536,-104.9847034,600158,polygon,1840018789
Louisville,Louisville,KY,Kentucky,Jefferson,21111,40202,38.2542376,-85.759407,597337,point,1840037561
Milwaukee,Milwaukee,WI,Wisconsin,Milwaukee,55079,53203 53202 53207 53206 53205 53204 53209 53208 53233 53218 53219 53214 53215 53216 53210 53211 53212 53213 53295 53225 53224 53227 53226 53221 53220 53223 53222 53228 53201 53234 53237 53259 53263 53274 53278 53288 53290 53293,43.0389025,-87.9064736,594833,polygon,1840003046
Portland,Portland,OR,Oregon,Multnomah,41051,97227 97221 97220 97229 97203 97202 97201 97206 97205 97204 97209 97208 97266 97218 97213 97236 97232 97233 97230 97239 97219 97214 97215 97216 97217 97210 97211 97212 97207 97228 97238 97240 97242 97250 97251 97252 97253 97254 97256 97258 97280 97282 97283 97286 97290 97291 97292 97293 97294 97296,45.5234515,-122.6762071,583776,polygon,1840019941
Las Vegas,Las Vegas,NV,Nevada,Clark,32003,89117 89146 89106 89104 89102 89101 89108 89107 89138 89130 89131 89134 89143 89145 89144 89149 89110 89129 89128 89124 88901 88905 89114 89116 89125 89127 89133 89137 89151 89152 89153 89155 89158 89163 89164 89180 89185 89195,36.1749705,-115.137223,583756,polygon,1840020364
Oklahoma City,Oklahoma City,OK,Oklahoma,Oklahoma,40109,73012 73099 73097 73119 73118 73114 73117 73116 73111 73112 73020 73013 74857 73142 73141 73145 73149 73078 73108 73109 73104 73139 73132 73131 73135 73134 73008 73084 73162 73103 73054 73151 73150 73159 73064 73106 73107 73105 73102 73179 73173 73170 73049 73169 73165 73127 73120 73121 73122 73128 73129 73101 73113 73123 73124 73125 73126 73136 73137 73140 73143 73144 73146 73147 73148 73152 73153 73154 73155 73156 73157 73163 73164 73167 73172 73178 73184 73189 73190 73194 73195 73196,35.4715076,-97.54021069,579999,polygon,1840020428
Albuquerque,Albuquerque,NM,New Mexico,Bernalillo,35001,87123 87121 87112 87113 87110 87111 87116 87114 87109 87108 87102 87105 87104 87107 87106 87120 87101 87103 87115 87119 87125 87131 87151 87153 87154 87158 87176 87181 87184 87185 87187 87190 87191 87192 87193 87194 87195 87196 87197 87198 87199,35.0844909,-106.6511367,545852,polygon,1840019176
Tucson,Tucson,AZ,Arizona,Pima,4019,85705 85707 85706 85710 85756 85723 85726 85724 85701 85708 85711 85719 85748 85745 85747 85716 85714 85715 85712 85713 85730 85702 85703 85709 85717 85720 85721 85722 85725 85731 85732 85738 85751 85754 85775,32.2217429,-110.926479,520116,polygon,1840022101
Fresno,Fresno,CA,California,Fresno,6019,93720 93730 93650 93702 93703 93701 93706 93704 93705 93722 93727 93728 93721 93726 93711 93710 93707 93708 93709 93714 93715 93716 93717 93718 93724 93729 93740 93744 93750 93755 93760 93761 93764 93765 93771 93772 93774 93775 93776 93777 93778 93779 93790 93791 93792 93793 93794 93844,36.7477272,-119.7723661,494665,polygon,1840020319
Staten Island,Staten Island,NY,New York,Richmond County,36085,10314,40.58328072,-74.14981238,470728,point,1840038129
Sacramento,Sacramento,CA,California,Sacramento,6067,95820 95838 95832 95833 95831 95834 95835 95811 95814 95815 95816 95818 95819 95828 95821 95823 95822 95825 95824 95826 95817 94203 94204 94205 94207 94208 94209 94211 94229 94230 94232 94234 94235 94236 94237 94239 94240 94244 94245 94247 94248 94249 94250 94252 94254 94256 94257 94258 94259 94261 94262 94263 94267 94268 94269 94271 94273 94274 94277 94278 94279 94280 94282 94283 94284 94285 94286 94287 94288 94289 94290 94291 94293 94294 94295 94296 94297 94298 94299 95812 95813 95840 95851 95852 95853 95867 95894,38.5815719,-121.4943996,466488,polygon,1840021491
Long Beach,Long Beach,CA,California,Los Angeles,6037,90822 90804 90805 90806 90807 90802 90803 90808 90831 90813 90810 90815 90814 90801 90832 90833 90834 90835 90840 90842 90844 90846 90847 90848 90853 90899,33.7669623,-118.1892348,462257,polygon,1840020490
Kansas City,Kansas City,MO,Missouri,Jackson,29095,64163 64165 64167 64161 64053 64116 64151 64153 64155 64154 64157 64156 64158 64108 64109 64102 64106 64128 64124 64125 64126 64127 64120 64123 64129 64164 64166 64192 64119 64118 64114 64117 64111 64110 64113 64112 64133 64146 64145 64149 64147 64105 64101 64139 64138 64132 64131 64130 64137 64136 64134 64121 64141 64144 64148 64162 64168 64170 64171 64179 64180 64184 64187 64188 64190 64191 64195 64196 64197 64198 64199 64999,39.0997266,-94.5785667,459787,polygon,1840008535
Mesa,Mesa,AZ,Arizona,Maricopa,4013,85208 85209 85201 85202 85203 85204 85205 85206 85207 85212 85215 85213 85210 85211 85214 85216 85274 85275 85277,33.4222685,-111.8226402,439041,polygon,1840020566
Virginia Beach,Virginia Beach,VA,Virginia,Virginia Beach (city),51810,23459 23451 23453 23452 23455 23457 23456 23454 23460 23461 23462 23464 23450 23458 23463 23465 23466 23467 23471 23479,36.8529263,-75.977985,437994,polygon,1840003871
Atlanta,Atlanta,GA,Georgia,Fulton,13121,30334 30331 30332 30309 30308 30307 30303 30354 30327 30326 30324 30342 30305 30306 30319 30316 30317 30314 30315 30312 30313 30310 30311 30363 30318 30301 30302 30304 30321 30325 30343 30348 30353 30355 30357 30358 30361 30362 30368 30369 30370 30371 30375 30377 30378 30380 30385 30388 30392 30394 30396 30398 31106 31107 31119 31126 31131 31139 31141 31145 31146 31150 31156 31192 31193 31195 31196 39901,33.7489954,-84.3879824,420003,polygon,1840013660
Colorado Springs,Colorado Springs,CO,Colorado,El Paso,8041,80951 80909 80904 80905 80906 80907 80903 80939 80938 80910 80917 80916 80915 80914 80919 80918 80927 80924 80925 80922 80923 80920 80921 80929 80901 80912 80931 80932 80933 80934 80935 80936 80937 80941 80942 80944 80946 80947 80949 80950 80960 80962 80970 80977 80995 80997,38.8338816,-104.8213634,416427,polygon,1840018825
Omaha,Omaha,NE,Nebraska,Douglas,31055,68112 68114 68117 68118 68106 68107 68105 68108 68178 68164 68110 68122 68127 68124 68022 68111 68116 68137 68135 68144 68134 68132 68131 68130 68102 68104 68154 68152 68101 68103 68109 68119 68139 68145 68172 68175 68176 68179 68180 68182 68183 68198,41.2586096,-95.937792,408958,polygon,1840009315
Raleigh,Raleigh,NC,North Carolina,Wake,37183,27617 27616 27615 27614 27613 27612 27610 27608 27609 27601 27603 27604 27605 27606 27607 27602 27611 27619 27620 27621 27622 27623 27624 27625 27626 27627 27628 27629 27634 27635 27636 27640 27650 27656 27658 27661 27668 27675 27676 27690 27695 27697 27698 27699,35.772096,-78.6386145,403892,polygon,1840014497
Miami,Miami,FL,Florida,Miami-Dade,12086,33128 33129 33125 33126 33127 33149 33144 33145 33142 33139 33138 33137 33136 33135 33134 33133 33132 33131 33130 33150 33101 33109 33102 33111 33114 33116 33119 33124 33151 33152 33153 33163 33164 33188 33192 33195 33197 33199 33222 33231 33233 33234 33238 33239 33242 33243 33245 33247 33255 33256 33257 33261 33265 33266 33269 33280 33283 33296 33299,25.7742658,-80.1936589,399457,polygon,1840015149
Cleveland,Cleveland,OH,Ohio,Cuyahoga,39035,44135 44119 44113 44112 44111 44110 44115 44114 44144 44128 44127 44120 44104 44105 44106 44101 44102 44103 44108 44109 44181 44188 44190 44191 44192 44193 44194 44195 44197 44198 44199,41.4994954,-81.6954088,396815,polygon,1840000596
Tulsa,Tulsa,OK,Oklahoma,Tulsa,40143,74133 74130 74137 74135 74132 74136 74134 74145 74110 74112 74114 74115 74117 74119 74015 74105 74129 74128 74120 74127 74126 74116 74107 74104 74103 74146 74106 74108 74101 74102 74121 74141 74147 74148 74149 74150 74152 74153 74155 74156 74157 74158 74159 74169 74170 74171 74172 74182 74186 74187 74192 74193,36.157929,-96.01655809,391906,polygon,1840021672
Oakland,Oakland,CA,California,Alameda,6001,94621 94705 94704 94611 94610 94613 94619 94612 94618 94606 94607 94602 94603 94601 94608 94605 94609 94604 94614 94615 94617 94620 94623 94624 94649 94659 94660 94661 94666,37.8043722,-122.2708026,390724,polygon,1840020296
Minneapolis,Minneapolis,MN,Minnesota,Hennepin,27053,55404 55403 55409 55408 55407 55406 55405 55402 55401 55455 55430 55454 55418 55419 55410 55411 55412 55413 55414 55415 55416 55417 55440 55458 55459 55460 55467 55470 55472 55473 55474 55478 55479 55480 55483 55484 55485 55486 55487 55488,44.9799654,-93.2638361,382578,polygon,1840007830
Wichita,Wichita,KS,Kansas,Sedgwick,20173,67230 67235 67223 67260 67217 67216 67215 67214 67213 67212 67211 67210 67219 67218 67220 67226 67202 67203 67204 67205 67206 67207 67208 67209 67201 67275 67276 67277 67278,37.6922361,-97.3375448,382368,polygon,1840001686
San Juan,San Juan,PR,Puerto Rico,San Juan,72127,00918 00913 00911 00917 00915 00912 00926 00927 00924 00925 00923 00920 00921 00906 00907 00901 00909 00936 00969 00902 00908 00910 00914 00916 00919 00922 00928 00929 00930 00931 00933 00935 00937 00939 00940 00955 00975,18.4663338,-66.1057217,381931,polygon,1630023655
Arlington,Arlington,TX,Texas,Tarrant,48439,76040 76011 76006 76001 76002 76018 76013 76012 76010 76017 76016 76015 76014 76003 76004 76005 76007 76019 76094 76096,32.735687,-97.1080656,365438,polygon,1840019422
Bakersfield,Bakersfield,CA,California,Kern,6029,93306 93307 93304 93305 93301 93309 93314 93311 93313 93312 93302 93384 93385 93387 93389 93390,35.3732921,-119.0187125,347483,polygon,1840019148
New Orleans,New Orleans,LA,Louisiana,Orleans,22071,70139 70130 70131 70114 70115 70116 70117 70112 70113 70118 70119 70129 70128 70125 70124 70127 70126 70122 70163 70141 70142 70143 70145 70146 70148 70150 70151 70152 70153 70154 70156 70157 70158 70159 70160 70161 70162 70164 70165 70166 70167 70170 70172 70174 70175 70176 70177 70178 70179 70181 70182 70183 70184 70185 70186 70187 70189 70190 70195,29.9546482,-90.075072,343829,polygon,1840001839
Anaheim,Anaheim,CA,California,Orange,6059,92808 92806 92807 92804 92805 92802 92801 92803 92809 92812 92814 92815 92816 92817 92825 92850 92899,33.8352932,-117.9145036,336265,polygon,1840019322
